Site No	Site Name	Service	Class	Modulation	Area Served	Commenced Date
2037	Kia-Ora Lookout	ABC Local Radio	D	FM	Gloucester	01/07/1993 23:00
2038	Goodooga RT	ABC Local Radio	D	FM	Goodooga	27/05/1989 23:00
2057	Lightning Ridge	ABC Local Radio	D	FM	Lightning Ridge	27/05/1989 23:00
2063	Merriwa	ABC Local Radio	D	FM	Merriwa	12/05/1994 23:00
2073	Mt Helen RT	ABC Local Radio	D	FM	Murrurundi	08/12/1993 0:00
2091	Nyngan	ABC Local Radio	D	FM	Nyngan	12/08/1988 23:00
2096	Rossgole Lookout	ABC Local Radio	D	FM	Upper Hunter	12/08/1993 23:00
2107	Tottenham	ABC Local Radio	D	FM	Tottenham	12/08/1988 23:00
2111	Clive Blakes Hill	ABC Local Radio	D	FM	Walcha	19/05/1994 23:00
2112	Walgett	ABC Local Radio	D	FM	Walgett	01/03/1990 0:00
2259	Gan Gan Hill RT	ABC Local Radio	D	FM	Port Stephens	12/06/2003 12:00
2002	Macpherson Range MF	ABC Radio National	C	AM	Armidale	11/02/1970 1:00
2007	Beresfield MF	ABC Radio National	B	AM	Newcastle	07/10/1970 1:00
2064	Middle Brother	ABC Radio National	B	FM	Manning River	30/08/1992 23:00
2068	Mt Cenn Cruaich	ABC Radio National	B	FM	Central Western Slopes	29/06/1993 23:00
2069	Mt Dowe	ABC Radio National	B	FM	Upper Namoi	11/12/1992 0:00
2075	Mt Moombil	ABC Radio National	B	FM	Grafton/Kempsey	30/08/1992 23:00
2123	Soma Mountain	ABC Radio National	C	FM	Tamworth	14/12/1992 1:00
2021	Fort Bourke Hill	ABC Radio National	D	FM	Cobar	11/03/2002 0:00
2037	Kia-Ora Lookout	ABC Radio National	D	FM	Gloucester	19/03/1993 0:00
2038	Goodooga RT	ABC Radio National	D	FM	Goodooga	27/05/1989 23:00
2057	Lightning Ridge	ABC Radio National	D	FM	Lightning Ridge	27/05/1989 23:00
2063	Merriwa	ABC Radio National	D	FM	Merriwa	12/05/1994 23:00
2073	Mt Helen RT	ABC Radio National	D	FM	Murrurundi	08/12/1993 0:00
2077	Mt Oxley RT	ABC Radio National	D	FM	Bourke	19/08/1996 23:00
2111	Clive Blakes Hill	ABC Radio National	D	FM	Walcha	19/05/1994 23:00
2112	Walgett	ABC Radio National	D	FM	Walgett	01/03/1990 0:00
2259	Gan Gan Hill RT	ABC Radio National	D	FM	Port Stephens	12/06/2003 12:00
2001	Kellys Plain	ABC Digital Television	C	COFDM	Armidale North	18/11/2012 17:00
2011	Bouddi Peninsula	ABC Digital Television	C	COFDM	Broken Bay	17/10/2014 15:00
2017	Buninyong Hill RT	ABC Digital Television	C	COFDM	Dubbo	31/10/2014 15:05
2041	Rumbulara	ABC Digital Television	C	COFDM	Gosford	17/10/2014 15:00
2053	Korora Basin	ABC Digital Television	C	COFDM	Coffs Harbour	03/04/2014 15:20
2064	Middle Brother	ABC Digital Television	B	COFDM	Manning River	01/10/2003 8:30
2068	Mt Cenn Cruaich	ABC Digital Television	B	COFDM	Central Western Slopes	01/11/2003 9:00
2069	Mt Dowe	ABC Digital Television	B	COFDM	Upper Namoi	02/08/2014 5:25
2075	Mt Moombil	ABC Digital Television	B	COFDM	Grafton/Kempsey	01/10/2003 8:30
2079	Mt Sugarloaf	ABC Digital Television	B	COFDM	Newcastle	30/07/2015 1:34
2117	Wyrrabalong Trig	ABC Digital Television	C	COFDM	Wyong	17/10/2014 15:20
2123	Soma Mountain	ABC Digital Television	C	COFDM	Tamworth	12/12/2014 5:00
2126	Little Duval Lower	ABC Digital Television	C	COFDM	Armidale	02/08/2014 4:45
2262	Mt Sugarloaf NBN	ABC Digital Television	B	COFDM	Newcastle	01/05/2002 0:00
2021	Fort Bourke Hill	ABC Digital Television	D	COFDM	Cobar	02/05/2007 17:00
2037	Kia-Ora Lookout	ABC Digital Television	D	COFDM	Gloucester	27/08/2014 14:30
2038	Goodooga RT	ABC Digital Television	D	COFDM	Goodooga	15/05/2013 15:30
2055	Jolly Nose Hill	ABC Digital Television	D	COFDM	Laurieton	03/10/2014 15:20
2057	Lightning Ridge	ABC Digital Television	D	COFDM	Lightning Ridge	16/12/2009 11:30
2063	Merriwa	ABC Digital Television	D	COFDM	Merriwa	18/09/2014 15:15
2073	Mt Helen RT	ABC Digital Television	D	COFDM	Murrurundi	02/10/2014 15:20
2077	Mt Oxley RT	ABC Digital Television	D	COFDM	Bourke	05/07/2013 14:00
2091	Nyngan	ABC Digital Television	D	COFDM	Nyngan	19/12/2014 14:45
2096	Rossgole Lookout	ABC Digital Television	D	COFDM	Upper Hunter	21/11/2014 14:16
2107	Tottenham	ABC Digital Television	D	COFDM	Tottenham	24/02/2013 12:00
2112	Walgett	ABC Digital Television	D	COFDM	Walgett	16/12/2009 17:00
2125	Centenary Lookout	ABC Digital Television	D	COFDM	Kotara	10/03/2003 1:00
2127	Queensborough Trig	ABC Digital Television	D	COFDM	Coolah	18/10/2014 15:35
2135	Coorei Hill	ABC Digital Television	D	COFDM	Dungog	28/11/2014 15:25
